timestamp,sensor1,sensor2
1,419,423
53,418,423
105,418,422
156,419,422
208,420,422
260,417,422
312,417,422
364,418,422
415,420,422
467,419,423
519,419,421
571,419,422
622,418,417
674,419,421
726,418,421
778,419,422
829,417,424
881,421,423
933,418,423
985,417,421
1037,417,424
1088,420,420
1140,420,421
1192,419,423
1244,420,423
1295,419,428
1347,420,423
1399,419,421
1451,420,424
1502,420,421
1554,418,424
1606,419,422
1658,419,422
1710,418,422
1761,416,421
1813,419,421
1865,418,422
1917,420,422
1968,418,422
2020,419,423
2072,419,422
2124,418,421
2176,417,422
2227,419,421
2279,419,421
2331,420,424
2383,416,423
2434,419,421
2486,420,422
2538,421,423
2590,420,422
2641,420,422
2693,419,421
2745,420,421
2797,421,422
2849,420,416
2900,420,421
2952,420,423
3004,417,422
3056,420,423
3108,420,424
3159,420,421
3211,420,419
3263,419,422
3315,421,421
3366,417,423
3418,418,423
3470,419,423
3522,417,421
3574,417,421
3625,419,421
3677,418,421
3729,420,416
3781,419,422
3832,419,421
3884,419,422
3936,420,420
3988,419,420
4040,418,427
4091,420,421
4143,420,422
4195,419,421
4247,419,421
4298,419,420
4350,420,421
4402,418,421
4454,419,421
4506,421,421
4557,420,420
4609,419,422
4661,420,422
4713,420,421
4764,421,420
4816,420,423
4868,419,421
4920,419,423
4971,421,423
5023,420,421
5075,419,423
5127,418,422
5179,420,420
5230,419,421
5282,417,422
5334,419,421
5386,419,420
5438,423,420
5489,421,422
5541,419,422
5593,419,422
5645,419,422
5696,418,419
5748,419,420
5800,416,422
5852,418,421
5903,419,423
5955,418,422
6007,420,424
6059,419,422
6111,418,422
6162,419,422
6214,419,422
6266,418,423
6318,420,422
6369,419,423
6421,420,423
6473,418,422
6525,419,422
6577,419,421
6628,417,422
6680,419,420
6732,420,422
6784,418,423
6835,419,423
6887,421,422
6939,419,422
6991,420,421
7042,419,421
7094,417,422
7146,418,421
7198,419,422
7250,420,418
7301,420,420
7353,417,422
7405,420,421
7457,420,422
7509,419,422
7560,419,420
7612,420,420
7664,419,423
7716,419,423
7767,420,419
7819,419,422
7871,419,422
7923,418,421
7975,420,423
8026,420,421
8078,418,421
8130,420,420
8182,420,421
8233,418,421
8285,420,422
8337,418,428
8389,419,420
8441,419,421
8492,420,422
8544,419,423
8596,420,424
8648,420,420
8699,419,423
8751,422,421
8803,419,422
8855,418,423
8907,420,421
8958,419,421
9010,420,421
9062,425,423
9114,420,421
9165,420,421
9217,418,424
9269,420,423
9321,420,422
9373,421,421
9424,420,422
9476,420,421
9528,419,422
9580,419,421
9631,418,422
9683,420,423
9735,418,421
9787,419,421
9839,419,420
9890,418,422
9942,419,423
9994,422,421
