timestamp,sensor1,sensor2
2,739,487
54,755,434
106,1023,490
157,1023,702
209,962,494
261,534,390
313,406,357
364,578,440
416,734,465
468,734,450
520,711,410
571,725,391
623,753,375
675,761,379
727,889,418
779,1023,525
830,1023,714
882,759,492
934,465,411
986,482,412
1037,678,417
1089,780,398
1141,722,379
1193,671,364
1244,699,386
1296,737,417
1348,783,435
1400,1023,527
1452,1023,767
1503,1023,673
1555,607,413
1607,444,359
1659,570,385
1710,734,409
1762,751,413
1814,685,432
1866,671,439
1917,708,431
1969,762,426
2021,1023,458
2073,1023,727
2125,1023,732
2176,829,484
2228,533,410
2280,563,431
2332,700,470
2383,751,436
2435,690,408
2487,606,373
2539,589,374
2590,638,383
2642,724,354
2694,1023,488
2746,1023,775
2798,1023,717
2849,716,493
2901,547,432
2953,611,421
3005,746,369
3056,762,385
3108,689,378
3160,626,381
3212,631,407
3264,662,445
3315,671,430
3367,961,421
3419,1023,711
3471,1023,720
3522,881,444
3574,587,356
3626,581,381
3678,715,432
3729,774,428
3781,732,425
3833,666,412
3885,618,401
3937,619,396
3988,651,387
4040,690,384
4092,1023,453
4144,1023,751
4195,1023,722
4247,804,501
4299,559,428
4351,610,408
4403,758,417
4454,785,389
4506,713,353
4558,640,355
4610,613,366
4661,627,401
4713,659,416
4765,795,453
4817,1023,570
4868,1023,740
4920,1023,664
4972,622,442
5024,545,409
5075,690,417
5127,789,441
5179,752,441
5231,668,424
5283,616,409
5334,615,396
5386,638,382
5438,709,392
5490,1023,474
5541,1023,726
5593,1023,687
5645,715,487
5697,553,444
5749,658,445
5800,783,449
5852,751,414
5904,671,388
5956,615,318
6007,593,368
6059,612,384
6111,724,420
6163,1023,553
6215,1023,776
6266,1023,699
6318,635,465
6370,527,410
6422,666,411
6473,784,403
6525,749,383
6577,657,409
6629,598,425
6680,596,443
6732,631,421
6784,751,422
6836,1023,518
6888,1023,727
6939,1023,642
6991,598,415
7043,484,393
7095,663,450
7146,807,447
7198,778,439
7250,687,411
7302,613,393
7354,600,362
7405,644,375
7457,995,387
7509,1023,710
7561,1023,763
7612,818,525
7664,497,433
7716,582,432
7768,796,428
7820,836,405
7871,747,363
7923,664,365
7975,632,372
8027,637,391
8078,982,475
8130,1023,747
8182,1023,746
8234,803,473
8285,567,385
8337,620,377
8389,756,407
8441,789,398
8493,717,405
8544,650,407
8596,625,430
8648,633,438
8700,974,477
8751,1023,708
8803,1023,719
8855,826,446
8907,582,387
8958,619,414
9010,759,441
9062,792,437
9114,726,440
9166,647,407
9217,622,402
9269,622,369
9321,861,391
9373,1023,574
9424,1023,672
9476,890,476
9528,608,376
9580,614,422
9632,742,451
9683,792,418
9735,734,367
9787,678,351
9839,640,357
9890,638,370
9942,860,442
9994,1023,566
