timestamp,sensor1,sensor2
1,430,301
53,431,301
105,431,301
156,431,299
208,431,300
260,430,299
312,433,298
364,432,299
415,431,301
467,429,300
519,431,299
571,430,299
622,430,301
674,430,301
726,431,300
778,434,299
830,431,300
881,430,298
933,430,300
985,430,299
1037,433,298
1088,432,301
1140,432,299
1192,431,299
1244,432,301
1295,431,300
1347,428,301
1399,434,301
1451,430,298
1503,432,300
1554,433,300
1606,428,299
1658,431,300
1710,432,301
1761,428,300
1813,432,298
1865,430,299
1917,429,299
1969,431,299
2020,429,300
2072,432,299
2124,431,300
2176,430,299
2227,429,300
2279,429,301
2331,431,300
2383,433,299
2434,430,300
2486,430,299
2538,433,299
2590,431,299
2642,431,298
2693,432,299
2745,430,300
2797,429,298
2849,430,301
2901,431,300
2952,431,299
3004,431,300
3056,430,299
3108,430,302
3159,431,300
3211,430,298
3263,431,302
3315,429,299
3366,431,299
3418,431,299
3470,430,301
3522,430,301
3574,431,301
3625,430,299
3677,430,302
3729,432,300
3781,431,300
3833,431,300
3884,431,300
3936,430,300
3988,432,303
4040,428,301
4092,433,300
4143,433,300
4195,432,300
4247,431,300
4299,431,299
4350,431,300
4402,431,300
4454,431,301
4506,431,298
4557,428,298
4609,429,299
4661,433,302
4713,432,300
4765,431,302
4816,429,299
4868,431,301
4920,429,300
4972,431,300
5023,430,300
5075,430,299
5127,431,300
5179,431,298
5231,431,299
5282,432,301
5334,430,302
5386,430,300
5438,431,301
5489,431,301
5541,431,301
5593,431,297
5645,432,298
5697,431,300
5748,430,300
5800,430,302
5852,429,301
5904,431,302
5955,433,301
6007,430,298
6059,430,299
6111,431,301
6163,431,301
6214,432,301
6266,430,299
6318,430,301
6370,431,300
6422,430,301
6473,430,301
6525,433,299
6577,428,299
6629,431,299
6680,432,300
6732,430,301
6784,430,299
6836,432,298
6888,431,299
6939,430,299
6991,431,299
7043,432,300
7095,430,299
7146,430,300
7198,430,299
7250,430,301
7302,431,301
7353,432,299
7405,429,300
7457,429,300
7509,432,301
7561,431,300
7612,430,300
7664,432,301
7716,431,300
7768,429,299
7819,428,299
7871,429,299
7923,430,300
7975,429,301
8027,433,302
8078,429,300
8130,432,300
8182,433,300
8234,432,300
8285,428,300
8337,429,300
8389,430,302
8441,429,299
8493,432,301
8544,431,299
8596,429,301
8648,429,299
8700,429,300
8751,430,302
8803,432,300
8855,433,300
8907,430,301
8959,430,300
9010,430,300
9062,430,299
9114,432,301
9166,431,300
9217,430,300
9269,429,301
9321,430,301
9373,431,302
9425,430,300
9476,431,298
9528,430,299
9580,430,300
9632,431,299
9683,430,299
9735,431,299
9787,430,300
9839,433,301
9891,430,299
9942,432,301
9994,434,301
