timestamp,sensor1,sensor2
1,409,393
53,407,394
105,406,393
157,406,394
208,406,393
260,405,396
312,405,392
364,406,391
415,406,389
467,404,386
519,403,389
571,401,388
622,404,387
674,403,390
726,402,389
778,405,392
830,406,389
881,407,390
933,406,393
985,405,393
1037,406,392
1088,406,392
1140,406,392
1192,407,394
1244,405,393
1295,407,393
1347,407,393
1399,405,395
1451,407,393
1502,407,396
1554,408,395
1606,408,395
1658,406,393
1710,410,394
1761,409,396
1813,408,394
1865,407,394
1917,407,395
1968,406,393
2020,407,392
2072,406,394
2124,407,394
2175,406,392
2227,407,394
2279,409,395
2331,408,395
2382,408,395
2434,408,399
2486,406,396
2538,409,396
2590,408,396
2641,407,396
2693,407,396
2745,409,395
2797,409,398
2848,407,396
2900,408,395
2952,408,398
3004,410,394
3056,412,397
3107,411,397
3159,407,401
3211,408,397
3263,409,394
3314,407,398
3366,408,397
3418,406,398
3470,409,397
3521,407,396
3573,408,393
3625,408,397
3677,408,395
3729,407,397
3780,407,398
3832,408,397
3884,408,396
3936,409,396
3987,408,396
4039,408,396
4091,409,400
4143,408,396
4194,408,391
4246,405,392
4298,405,394
4350,406,393
4402,409,397
4453,408,394
4505,406,394
4557,407,394
4609,408,394
4660,408,393
4712,407,394
4764,406,394
4816,407,394
4867,408,395
4919,409,393
4971,408,390
5023,408,395
5075,406,394
5126,407,393
5178,409,396
5230,407,394
5282,407,394
5333,409,396
5385,407,394
5437,408,391
5489,407,393
5541,407,393
5592,408,394
5644,405,394
5696,407,394
5748,407,390
5799,408,392
5851,409,396
5903,408,392
5955,410,394
6006,404,393
6058,407,394
6110,409,396
6162,409,395
6214,406,396
6265,408,396
6317,409,395
6369,408,396
6421,408,397
6472,408,396
6524,409,395
6576,408,396
6628,408,399
6679,410,399
6731,409,396
6783,409,396
6835,409,397
6887,409,398
6938,408,398
6990,408,395
7042,406,395
7094,407,394
7145,408,396
7197,406,397
7249,408,397
7301,408,395
7352,406,396
7404,408,399
7456,406,399
7508,408,397
7560,407,396
7611,406,395
7663,407,395
7715,408,396
7767,408,396
7818,409,398
7870,410,397
7922,409,396
7974,407,396
8025,408,397
8077,408,397
8129,407,395
8181,408,394
8232,408,396
8284,410,394
8336,407,397
8388,409,395
8440,411,397
8491,407,397
8543,407,397
8595,408,398
8647,412,398
8698,409,397
8750,407,398
8802,405,397
8854,407,397
8905,409,399
8957,409,398
9009,407,397
9061,407,395
9113,409,396
9164,405,395
9216,407,396
9268,410,397
9320,407,396
9371,408,397
9423,407,395
9475,409,397
9527,407,395
9578,408,397
9630,407,396
9682,406,394
9734,409,394
9786,406,396
9837,409,397
9889,407,398
9941,408,396
9993,408,396
