timestamp,sensor1,sensor2
2,436,307
54,437,308
106,438,308
157,436,309
209,436,309
261,439,309
313,436,309
364,435,308
416,437,309
468,436,309
520,436,310
571,437,309
623,435,309
675,436,309
727,435,310
779,437,309
830,435,309
882,436,304
934,437,308
986,436,308
1037,436,307
1089,436,309
1141,436,309
1193,436,309
1244,435,308
1296,437,308
1348,436,310
1400,437,310
1451,437,309
1503,435,308
1555,436,308
1607,435,309
1658,435,310
1710,438,308
1762,436,309
1814,436,307
1866,440,309
1917,437,308
1969,436,312
2021,435,309
2073,436,308
2124,436,310
2176,436,309
2228,436,307
2280,440,308
2331,437,310
2383,436,309
2435,436,308
2487,436,309
2539,436,310
2590,437,311
2642,435,309
2694,436,309
2746,436,310
2797,435,310
2849,436,310
2901,437,309
2953,438,309
3005,439,310
3056,437,308
3108,435,308
3160,433,310
3212,437,309
3263,437,310
3315,436,311
3367,437,309
3419,436,309
3470,436,308
3522,437,309
3574,436,307
3626,436,309
3677,435,309
3729,432,309
3781,436,308
3833,436,309
3885,436,308
3936,436,308
3988,436,309
4040,436,309
4092,435,309
4143,436,310
4195,437,309
4247,437,310
4299,437,309
4350,436,308
4402,438,308
4454,435,309
4506,435,310
4558,437,309
4609,437,310
4661,436,309
4713,435,308
4765,436,309
4816,437,311
4868,436,310
4920,435,308
4972,437,309
5024,434,310
5075,437,310
5127,436,311
5179,435,309
5231,436,309
5282,434,309
5334,436,309
5386,436,309
5438,437,308
5489,437,308
5541,437,308
5593,436,310
5645,433,311
5697,435,309
5748,437,309
5800,437,310
5852,437,310
5904,438,310
5955,435,308
6007,438,309
6059,440,309
6111,437,309
6162,436,309
6214,436,308
6266,436,308
6318,434,308
6369,434,309
6421,435,310
6473,437,309
6525,436,309
6577,436,309
6628,436,309
6680,437,309
6732,438,308
6784,435,309
6835,438,308
6887,435,309
6939,436,311
6991,436,309
7042,437,310
7094,434,310
7146,438,310
7198,435,309
7250,440,309
7301,437,310
7353,436,309
7405,436,311
7457,436,310
7508,436,310
7560,436,311
7612,436,309
7664,437,311
7715,435,310
7767,436,310
7819,439,309
7871,437,310
7923,436,308
7974,437,310
8026,436,309
8078,436,312
8130,436,310
8181,434,310
8233,437,311
8285,437,308
8337,436,309
8388,435,310
8440,437,311
8492,437,310
8544,437,308
8595,437,309
8647,437,310
8699,436,309
8751,436,311
8803,435,310
8854,436,309
8906,436,308
8958,435,308
9010,435,310
9061,437,310
9113,436,309
9165,437,311
9217,437,310
9268,435,310
9320,436,309
9372,435,309
9424,437,310
9476,437,311
9527,435,310
9579,435,308
9631,436,311
9683,438,308
9734,437,309
9786,438,310
9838,438,311
9890,437,311
9941,437,310
9993,437,310
