timestamp,sensor1,sensor2
1,912,457
53,825,396
105,743,347
157,725,357
208,772,364
260,797,401
312,769,375
364,754,420
415,772,440
467,788,428
519,916,424
571,929,376
623,857,342
674,773,332
726,744,376
778,779,429
830,819,450
881,828,472
933,823,452
985,780,412
1037,813,340
1088,934,365
1140,928,369
1192,840,360
1244,765,370
1296,770,412
1347,806,457
1399,807,441
1451,826,444
1503,805,394
1554,778,359
1606,925,379
1658,990,376
1710,905,376
1762,828,393
1813,785,416
1865,803,429
1917,829,434
1969,851,410
2020,820,391
2072,776,346
2124,821,360
2176,997,397
2227,1010,405
2279,878,429
2331,785,442
2383,773,449
2435,819,447
2486,881,422
2538,851,386
2590,789,357
2642,742,345
2693,842,349
2745,1023,465
2797,996,465
2849,856,443
2900,806,433
2952,820,419
3004,851,391
3056,840,360
3108,793,339
3159,771,359
3211,770,349
3263,839,406
3315,991,474
3366,971,466
3418,874,429
3470,838,389
3522,823,380
3573,833,375
3625,832,379
3677,820,392
3729,797,415
3781,790,395
3832,803,453
3884,918,463
3936,1014,445
3988,950,400
4039,854,357
4091,794,352
4143,792,379
4195,822,408
4247,815,414
4298,793,452
4350,774,435
4402,735,422
4454,755,388
4505,917,379
4557,971,368
4609,841,357
4661,766,360
4712,760,417
4764,788,431
4816,797,460
4868,787,442
4920,769,373
4971,753,364
5023,754,343
5075,767,337
5127,836,385
5178,940,413
5230,887,414
5282,807,430
5334,785,448
5385,793,443
5437,789,399
5489,775,355
5541,762,342
5593,756,356
5644,750,384
5696,760,413
5748,765,444
5800,773,438
5851,828,432
5903,898,430
5955,843,384
6007,799,346
6059,777,347
6110,763,362
6162,775,385
6214,786,433
6266,764,449
6317,741,453
6369,740,430
6421,772,418
6473,773,374
6524,753,342
6576,763,359
6628,858,379
6680,881,419
6732,788,434
6783,740,446
6835,749,427
6887,775,421
6939,778,390
6990,762,346
7042,765,353
7094,763,369
7146,760,404
7197,762,431
7249,765,452
7301,785,441
7353,866,438
7405,863,403
7456,783,368
7508,745,354
7560,735,362
7612,761,375
7663,799,411
7715,791,432
7767,767,454
7819,757,446
7871,757,432
7922,769,378
7974,798,370
8026,881,366
8078,856,371
8129,780,379
8181,749,417
8233,752,458
8285,785,449
8336,792,433
8388,777,404
8440,763,365
8492,765,361
8544,767,362
8595,769,390
8647,817,434
8699,899,448
8751,853,454
8802,773,436
8854,737,403
8906,762,395
8958,790,362
9010,798,360
9061,779,353
9113,767,393
9165,772,432
9217,772,447
9268,787,443
9320,874,456
9372,897,407
9424,814,362
9476,758,358
9527,753,364
9579,777,372
9631,798,429
9683,794,438
9734,778,451
9786,766,435
9838,770,427
9890,781,383
9941,876,377
9993,929,368
