timestamp,sensor1,sensor2
2,421,414
54,420,410
105,421,410
157,420,411
209,422,413
261,423,415
313,419,411
364,422,412
416,419,412
468,422,411
520,421,411
571,424,412
623,420,412
675,422,412
727,420,412
779,420,412
830,423,411
882,420,409
934,422,411
986,422,411
1037,420,409
1089,420,412
1141,421,414
1193,422,412
1244,423,413
1296,422,411
1348,421,410
1400,422,412
1452,421,413
1503,422,411
1555,424,413
1607,419,410
1659,420,411
1710,422,413
1762,423,412
1814,420,412
1866,420,412
1918,421,412
1969,422,406
2021,421,412
2073,420,413
2125,422,412
2176,422,407
2228,421,410
2280,423,412
2332,420,412
2384,423,412
2435,421,413
2487,422,412
2539,419,413
2591,422,413
2642,423,412
2694,422,412
2746,420,411
2798,424,412
2850,423,412
2901,424,412
2953,419,412
3005,419,413
3057,422,410
3108,431,413
3160,420,414
3212,422,414
3264,423,410
3316,422,411
3367,422,412
3419,423,413
3471,422,412
3523,422,411
3574,423,413
3626,422,412
3678,421,412
3730,422,412
3782,423,413
3833,424,412
3885,424,412
3937,423,414
3989,421,415
4040,422,412
4092,422,413
4144,423,414
4196,422,411
4248,422,410
4299,422,412
4351,423,413
4403,421,412
4455,424,411
4506,421,416
4558,419,412
4610,422,412
4662,421,414
4714,420,413
4765,422,412
4817,423,407
4869,419,412
4921,422,413
4972,423,411
5024,423,411
5076,422,413
5128,422,410
5180,422,413
5231,422,414
5283,423,413
5335,431,412
5387,419,412
5438,422,413
5490,419,413
5542,422,411
5594,424,413
5646,423,412
5697,421,413
5749,421,412
5801,422,412
5853,421,411
5904,422,411
5956,422,413
6008,422,414
6060,423,409
6112,423,411
6163,423,411
6215,424,411
6267,423,412
6319,421,413
6370,421,414
6422,421,412
6474,420,413
6526,422,413
6577,421,411
6629,423,412
6681,421,415
6733,432,414
6785,423,411
6836,435,411
6888,423,414
6940,423,413
6992,423,414
7044,422,411
7095,422,410
7147,418,402
7199,422,407
7251,421,409
7302,424,412
7354,425,409
7406,423,411
7458,422,411
7509,422,411
7561,421,411
7613,419,410
7665,421,411
7717,421,411
7768,423,411
7820,422,412
7872,422,412
7924,422,412
7975,423,412
8027,421,412
8079,418,411
8131,422,409
8183,423,410
8234,423,411
8286,423,410
8338,421,413
8390,421,413
8441,422,411
8493,423,410
8545,419,410
8597,422,410
8649,423,412
8700,421,411
8752,423,412
8804,422,411
8856,421,402
8907,424,410
8959,421,412
9011,422,412
9063,422,411
9115,422,409
9166,422,410
9218,423,410
9270,423,408
9322,422,411
9374,421,411
9425,421,411
9477,421,410
9529,419,412
9581,423,409
9632,422,413
9684,421,408
9736,422,410
9788,422,408
9839,421,410
9891,422,410
9943,422,410
9995,424,411
