timestamp,sensor1,sensor2
1,755,326
53,751,368
105,975,442
157,1023,524
208,1000,460
260,727,406
312,661,379
364,704,384
415,765,351
467,752,361
519,702,363
571,647,378
623,644,419
674,673,449
726,947,488
778,1023,519
830,985,403
881,733,345
933,687,347
985,790,379
1037,839,396
1088,813,427
1140,766,453
1192,749,441
1244,743,421
1296,753,408
1347,950,414
1399,1023,428
1451,964,350
1503,733,353
1554,695,394
1606,761,433
1658,862,469
1710,841,438
1761,756,424
1813,722,394
1865,718,374
1917,725,370
1968,776,372
2020,1023,482
2072,1023,486
2124,751,424
2176,600,413
2227,655,412
2279,775,396
2331,806,358
2383,747,332
2434,734,343
2486,761,386
2538,789,419
2590,817,436
2641,968,490
2693,1023,492
2745,852,403
2797,713,346
2849,703,348
2900,770,377
2952,811,396
3004,804,370
3056,784,431
3107,783,461
3159,799,465
3211,877,441
3263,1006,417
3315,925,353
3366,791,323
3418,749,356
3470,802,388
3522,858,444
3573,880,456
3625,879,457
3677,876,448
3729,860,396
3781,863,378
3832,935,365
3884,894,345
3936,794,356
3988,784,408
4039,813,431
4091,831,459
4143,824,459
4195,806,421
4246,799,372
4298,800,357
4350,823,342
4402,932,373
4454,955,406
4505,823,405
4557,747,433
4609,766,442
4661,824,452
4712,864,422
4764,855,366
4816,828,349
4868,821,360
4919,831,390
4971,851,434
5023,907,461
5075,845,450
5127,778,424
5178,780,402
5230,803,373
5282,817,367
5334,812,363
5385,789,379
5437,794,414
5489,808,437
5541,820,469
5593,841,446
5644,895,433
5696,851,399
5748,790,308
5800,787,341
5851,812,363
5903,854,412
5955,906,434
6007,894,461
6058,867,451
6110,864,433
6162,907,397
6214,961,382
6266,987,373
6317,968,368
6369,972,392
6421,991,415
6473,995,426
6524,982,444
6576,985,430
6628,984,399
6680,930,315
6732,864,315
6783,854,333
6835,863,370
6887,882,412
6939,896,399
6990,859,441
7042,837,449
7094,860,443
7146,880,403
7197,886,371
7249,895,314
7301,888,348
7353,877,376
7405,859,406
7456,852,433
7508,836,459
7560,852,457
7612,847,408
7663,819,373
7715,814,373
7767,830,376
7819,839,373
7870,837,390
7922,844,437
7974,855,439
8026,845,428
8078,832,423
8129,836,389
8181,855,371
8233,835,357
8285,810,351
8336,812,390
8388,828,424
8440,837,432
8492,848,455
8543,848,423
8595,841,395
8647,838,385
8699,821,362
8751,829,361
8802,844,376
8854,830,410
8906,809,427
8958,811,433
9009,814,449
9061,821,435
9113,825,406
9165,813,359
9216,814,350
9268,809,372
9320,812,353
9372,835,408
9424,817,431
9475,792,429
9527,786,440
9579,787,396
9631,792,371
9682,788,363
9734,785,370
9786,780,378
9838,789,403
9889,806,420
9941,824,458
9993,807,430
