timestamp,sensor1,sensor2
2,390,184
53,390,179
105,386,183
157,387,182
209,389,183
260,387,182
312,386,182
364,388,182
416,389,184
467,386,184
519,387,184
571,387,182
623,387,182
675,388,187
726,388,184
778,389,185
830,390,184
882,387,186
933,388,185
985,387,186
1037,385,185
1089,386,184
1140,387,186
1192,387,186
1244,388,185
1296,388,189
1347,387,185
1399,388,186
1451,386,184
1503,392,187
1555,389,189
1606,389,186
1658,390,188
1710,388,187
1762,387,188
1813,388,189
1865,388,187
1917,388,186
1969,388,189
2020,388,186
2072,386,187
2124,390,186
2176,389,187
2228,388,187
2279,388,187
2331,387,187
2383,387,190
2435,392,188
2486,395,200
2538,388,187
2590,389,193
2642,391,190
2693,389,189
2745,388,187
2797,388,186
2849,390,187
2901,391,191
2952,401,200
3004,401,200
3056,400,184
3108,397,176
3159,398,178
3211,390,173
3263,387,167
3315,387,170
3367,396,185
3418,400,189
3470,401,191
3522,396,189
3574,396,186
3625,391,181
3677,385,176
3729,386,175
3781,387,176
3832,388,180
3884,395,187
3936,398,188
3988,390,182
4039,394,187
4091,397,190
4143,398,196
4195,398,197
4247,397,201
4298,399,184
4350,402,190
4402,399,188
4454,398,186
4505,396,201
4557,399,209
4609,397,205
4661,395,201
4713,396,204
4764,396,203
4816,398,186
4868,397,177
4920,397,178
4971,397,177
5023,396,178
5075,397,183
5127,396,179
5178,397,195
5230,403,215
5282,403,171
5334,400,166
5386,402,176
5437,402,190
5489,401,193
5541,397,189
5593,400,195
5644,402,200
5696,401,198
5748,402,200
5800,401,198
5851,402,199
5903,400,194
5955,402,193
6007,403,177
6059,397,169
6110,396,165
6162,396,172
6214,403,173
6266,394,173
6317,393,172
6369,394,171
6421,394,179
6473,397,176
6524,398,177
6576,398,183
6628,398,182
6680,396,180
6732,398,179
6783,397,182
6835,400,179
6887,400,178
6939,397,174
6990,397,178
7042,398,175
7094,398,176
7146,395,172
7198,395,177
7249,394,175
7301,395,171
7353,398,177
7405,397,175
7456,393,174
7508,398,177
7560,396,176
7612,400,177
7663,399,172
7715,399,175
7767,402,179
7819,398,180
7871,399,177
7922,402,180
7974,399,176
8026,398,173
8078,397,176
8129,397,172
8181,399,176
8233,396,171
8285,394,171
8336,399,172
8388,393,166
8440,393,166
8492,396,174
8544,398,177
8595,397,175
8647,392,171
8699,394,171
8751,392,173
8802,397,182
8854,395,180
8906,398,178
8958,397,180
9009,401,183
9061,397,180
9113,398,184
9165,398,183
9217,399,182
9268,397,181
9320,396,179
9372,398,177
9424,396,178
9475,400,178
9527,401,183
9579,401,186
9631,398,180
9683,398,185
9734,397,182
9786,399,184
9838,401,188
9890,397,179
9941,399,179
9993,402,180
