timestamp_ms,ppg1,ppg2
0,3156,3171
12,3155,3153
24,3162,3150
35,3176,3140
47,3167,3143
59,3158,3143
71,3154,3148
83,3146,3145
95,3162,3147
106,3162,3153
118,3154,3167
130,3161,3173
142,3169,3191
154,3169,3202
165,3178,3202
177,3166,3207
189,3157,3194
201,3128,3181
213,3128,3169
224,3128,3166
236,3121,3161
248,3109,3141
260,3094,3133
272,3112,3134
284,3114,3130
295,3117,3126
307,3120,3130
319,3112,3127
331,3122,3143
343,3121,3141
355,3132,3143
366,3134,3144
378,3151,3159
390,3149,3159
402,3146,3154
414,3168,3144
425,3178,3143
437,3195,3143
449,3233,3134
461,3265,3133
473,3270,3142
485,3294,3159
496,3305,3164
508,3311,3171
520,3301,3186
532,3291,3212
544,3290,3233
555,3273,3264
567,3251,3294
579,3243,3317
591,3234,3343
603,3236,3355
615,3230,3360
626,3229,3372
638,3224,3375
650,3219,3367
662,3224,3376
674,3229,3366
685,3233,3357
697,3208,3334
709,3201,3319
721,3186,3289
733,3167,3254
745,3163,3240
756,3155,3233
768,3142,3218
780,3134,3226
792,3151,3226
804,3159,3224
815,3172,3212
827,3188,3216
839,3190,3210
851,3200,3199
863,3200,3217
875,3225,3225
886,3214,3231
898,3221,3232
910,3241,3233
922,3252,3239
934,3255,3249
945,3265,3245
957,3269,3255
969,3251,3252
981,3234,3248
993,3223,3250
1005,3220,3245
1016,3216,3236
1028,3208,3236
1040,3200,3229
1052,3187,3212
1064,3180,3195
1076,3186,3201
1087,3187,3192
1099,3177,3186
1111,3171,3178
1123,3171,3181
1135,3168,3176
1146,3176,3181
1158,3173,3188
1170,3169,3184
1182,3168,3192
1194,3163,3183
1206,3179,3176
1217,3183,3174
1229,3204,3183
1241,3216,3172
1253,3204,3167
1265,3192,3162
1277,3191,3178
1288,3191,3181
1300,3195,3188
1312,3193,3195
1324,3190,3188
1336,3191,3190
1347,3199,3192
1359,3205,3193
1371,3210,3185
1383,3228,3183
1395,3247,3197
1407,3251,3205
1418,3272,3237
1430,3280,3260
1442,3291,3293
1454,3293,3328
1466,3282,3368
1478,3275,3408
1489,3255,3429
1501,3240,3450
1513,3219,3453
1525,3218,3452
1537,3222,3437
1548,3231,3439
1560,3237,3424
1572,3226,3416
1584,3221,3396
1596,3235,3377
1608,3239,3363
1619,3232,3351
1631,3225,3339
1643,3221,3328
1655,3211,3320
1667,3210,3313
1678,3206,3310
1690,3221,3288
1702,3207,3280
1714,3219,3271
1726,3227,3268
1738,3237,3268
1749,3237,3271
1761,3227,3262
1773,3222,3265
1785,3228,3260
1797,3218,3278
1809,3193,3297
1820,3184,3315
1832,3169,3321
1844,3175,3317
1856,3183,3322
1868,3198,3310
1879,3215,3293
1891,3216,3284
1903,3206,3271
1915,3208,3259
1927,3222,3253
1939,3226,3236
1950,3229,3227
1962,3236,3230
1974,3228,3231
1986,3215,3237
1998,3207,3247
2010,3195,3240
2021,3196,3217
2033,3188,3208
2045,3187,3210
2057,3192,3204
2069,3198,3196
2081,3191,3185
2092,3190,3179
2104,3181,3182
2116,3197,3177
2128,3207,3182
2140,3201,3190
2152,3198,3198
2163,3199,3202
2175,3197,3190
2187,3201,3199
2199,3215,3186
2211,3217,3183
2222,3214,3166
2234,3210,3155
2246,3232,3157
2258,3236,3164
2270,3250,3190
2282,3261,3220
2293,3278,3269
2305,3274,3304
2317,3269,3346
2329,3269,3390
2341,3269,3420
2353,3269,3438
2364,3276,3475
2376,3275,3487
2388,3283,3497
2400,3272,3505
2412,3264,3512
2424,3248,3523
2435,3242,3511
2447,3229,3509
2459,3224,3486
2471,3232,3468
2483,3227,3442
2495,3232,3422
2506,3221,3393
2518,3221,3378
2530,3214,3359
2542,3212,3354
2554,3217,3344
2565,3227,3351
2577,3235,3355
2589,3233,3351
2601,3241,3344
2613,3250,3339
2625,3251,3329
2636,3261,3323
2648,3243,3319
2660,3234,3317
2672,3232,3312
2684,3237,3288
2696,3220,3277
2707,3222,3273
2719,3223,3267
2731,3213,3253
2743,3218,3257
2755,3231,3261
2767,3223,3270
2778,3224,3279
2790,3213,3287
2802,3219,3293
2814,3217,3292
2826,3212,3283
2838,3213,3282
2849,3218,3281
2861,3227,3263
2873,3225,3252
2885,3224,3231
2897,3219,3225
2908,3234,3220
2920,3214,3216
2932,3217,3207
2944,3227,3211
2956,3223,3216
2968,3224,3210
2979,3218,3199
2991,3225,3190
3003,3240,3184
3015,3244,3174
3027,3232,3177
3039,3219,3183
3050,3221,3181
3062,3224,3192
3074,3218,3190
3086,3226,3197
3098,3223,3193
3110,3235,3198
3121,3252,3206
3133,3266,3218
3145,3280,3248
3157,3274,3276
3169,3295,3304
3181,3289,3333
3192,3282,3368
3204,3279,3409
3216,3263,3444
3228,3257,3476
3240,3263,3512
3251,3258,3535
3263,3255,3558
3275,3258,3566
3287,3254,3559
3299,3253,3562
3311,3264,3562
3322,3280,3529
3334,3288,3518
3346,3285,3492
3358,3286,3463
3370,3274,3430
3382,3249,3405
3393,3225,3383
3405,3203,3368
3417,3190,3354
3429,3180,3325
3441,3183,3314
3453,3203,3318
3464,3217,3317
3476,3231,3320
3488,3241,3315
3500,3234,3315
3512,3245,3333
3524,3255,3335
3535,3263,3352
3547,3273,3350
3559,3272,3341
3571,3281,3344
3583,3275,3349
3595,3272,3335
3606,3254,3326
3618,3240,3322
3630,3235,3320
3642,3232,3312
3654,3231,3296
3666,3235,3275
3677,3232,3275
3689,3242,3280
3701,3240,3286
3713,3228,3289
3725,3218,3269
3736,3234,3266
3748,3228,3250
3760,3248,3240
3772,3237,3236
3784,3228,3221
3796,3224,3220
3807,3228,3211
3819,3232,3219
3831,3236,3219
3843,3227,3215
3855,3229,3217
3867,3231,3215
3878,3225,3210
3890,3226,3210
3902,3228,3206
3914,3212,3205
3926,3208,3215
3938,3197,3200
3949,3206,3193
3961,3212,3185
3973,3197,3180
3985,3186,3195
3997,3212,3217
4009,3221,3233
4020,3242,3261
4032,3245,3292
4044,3252,3321
4056,3262,3358
4068,3272,3412
4080,3268,3454
4091,3262,3504
4103,3258,3531
4115,3256,3550
4127,3240,3554
4139,3235,3547
4151,3251,3541
4162,3255,3516
4174,3269,3500
4186,3276,3479
4198,3267,3455
4210,3265,3433
4221,3250,3430
4233,3242,3403
4245,3221,3408
4257,3197,3404
4269,3169,3401
4281,3142,3396
4292,3134,3376
4304,3138,3352
4316,3151,3312
4328,3172,3299
4340,3190,3268
4352,3210,3246
4363,3226,3232
4375,3222,3228
4387,3220,3228
4399,3210,3215
4411,3197,3234
4423,3198,3245
4434,3195,3249
4446,3189,3257
4458,3189,3261
4470,3182,3257
4482,3196,3256
4493,3190,3256
4505,3197,3240
4517,3202,3247
4529,3224,3251
4541,3235,3266
4553,3232,3262
4564,3223,3260
4576,3222,3261
4588,3199,3253
4600,3183,3250
4612,3187,3238
4624,3184,3223
4635,3206,3217
4647,3220,3215
4659,3256,3219
4671,3285,3212
4683,3296,3208
4695,3313,3209
4706,3333,3217
4718,3321,3220
4730,3318,3230
4742,3320,3250
4754,3327,3244
4766,3324,3255
4777,3313,3283
4789,3316,3320
4801,3299,3351
4813,3292,3381
4825,3279,3432
4837,3275,3454
4848,3297,3496
4860,3302,3530
4872,3307,3572
4884,3302,3591
4896,3307,3609
4907,3318,3601
4919,3305,3602
4931,3298,3598
4943,3285,3568
4955,3261,3530
4967,3268,3485
4978,3263,3448
4990,3270,3420
5002,3274,3392
5014,3250,3375
5026,3230,3352
5038,3245,3337
5049,3242,3326
5061,3249,3316
5073,3254,3319
5085,3257,3310
5097,3259,3302
5109,3268,3303
5120,3288,3312
5132,3317,3318
5144,3320,3305
5156,3311,3303
5168,3310,3294
5180,3301,3302
5191,3297,3300
5203,3290,3305
5215,3260,3287
5227,3263,3279
5239,3254,3274
5251,3245,3264
5262,3237,3266
5274,3233,3267
5286,3233,3270
5298,3222,3267
5310,3213,3258
5321,3204,3236
5333,3213,3231
5345,3207,3228
5357,3202,3216
5369,3214,3211
5381,3206,3205
5392,3207,3185
5404,3217,3188
5416,3243,3183
5428,3243,3182
5440,3247,3181
5452,3241,3180
5463,3242,3180
5475,3238,3179
5487,3216,3172
5499,3207,3177
5511,3219,3173
5523,3232,3173
5534,3237,3189
5546,3267,3208
5558,3285,3248
5570,3303,3281
5582,3302,3321
5594,3309,3381
5605,3315,3437
5617,3324,3499
5629,3322,3547
5641,3324,3596
5653,3326,3627
5664,3316,3657
5676,3322,3685
5688,3313,3678
5700,3308,3647
5712,3312,3624
5724,3317,3594
5735,3319,3562
5747,3302,3520
5759,3306,3481
5771,3287,3432
5783,3285,3398
5795,3278,3372
5806,3267,3348
5818,3272,3331
5830,3259,3306
5842,3265,3292
5854,3264,3284
5866,3289,3276
5877,3277,3268
5889,3280,3270
5901,3277,3256
5913,3256,3245
5925,3252,3256
5937,3237,3257
5948,3230,3250
5960,3224,3260
5972,3218,3244
5984,3217,3236
5996,3226,3238
6008,3217,3225
6019,3207,3224
6031,3227,3235
6043,3235,3248
6055,3249,3245
6067,3245,3242
6078,3257,3241
6090,3260,3240
6102,3244,3229
6114,3232,3217
6126,3229,3207
6138,3224,3192
6149,3232,3183
6161,3228,3173
6173,3220,3165
6185,3209,3158
6197,3199,3146
6209,3189,3139
6220,3180,3125
6232,3193,3119
6244,3194,3126
6256,3191,3127
6268,3217,3152
6280,3236,3177
6291,3254,3202
6303,3293,3235
6315,3294,3270
6327,3306,3323
6339,3311,3368
6351,3340,3420
6362,3358,3481
6374,3371,3542
6386,3371,3585
6398,3365,3624
6410,3367,3627
6421,3360,3651
6433,3381,3651
6445,3392,3653
6457,3372,3632
6469,3369,3609
6481,3375,3574
6492,3358,3541
6504,3338,3515
6516,3329,3479
6528,3317,3440
6540,3305,3407
6552,3292,3369
6563,3287,3345
6575,3282,3325
6587,3271,3316
6599,3286,3313
6611,3280,3292
6623,3259,3291
6634,3257,3280
6646,3246,3286
6658,3242,3286
6670,3238,3285
6682,3247,3269
6694,3248,3261
6705,3253,3257
6717,3277,3249
6729,3259,3240
6741,3249,3233
6753,3240,3228
6764,3243,3223
6776,3253,3226
6788,3268,3225
6800,3266,3230
6812,3252,3220
6824,3254,3223
6835,3236,3212
6847,3236,3209
6859,3210,3203
6871,3197,3196
6883,3191,3168
6895,3191,3152
6906,3172,3129
6918,3170,3125
6930,3181,3112
6942,3184,3111
6954,3196,3117
6966,3200,3114
6977,3190,3120
6989,3197,3122
7001,3180,3118
7013,3172,3121
7025,3181,3118
7037,3178,3109
7048,3176,3097
7060,3179,3090
7072,3188,3079
7084,3207,3076
7096,3225,3074
7108,3249,3093
7119,3254,3125
