ptt_ms,collection_id,timestamp
24,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
23,1,2025-04-11 14:38:00
24,1,2025-04-11 14:38:00
47,1,2025-04-11 14:38:00
71,1,2025-04-11 14:38:00
36,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
36,1,2025-04-11 14:38:00
95,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
23,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
71,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
59,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
48,1,2025-04-11 14:38:00
24,1,2025-04-11 14:38:00
11,1,2025-04-11 14:38:00
12,1,2025-04-11 14:38:00
24,1,2025-04-11 14:38:00
