timestamp_ms,ppg1,ppg2
0,3123,1675
12,3129,1678
24,3127,1678
35,3136,1681
47,3129,1685
59,3129,1683
71,3139,1677
83,3125,1672
94,3139,1680
106,3128,1679
118,3141,1686
130,3142,1688
142,3147,1685
154,3124,1682
165,3125,1685
177,3109,1682
189,3111,1689
201,3155,1693
213,3159,1683
224,3143,1686
236,3149,1689
248,3101,1685
260,3116,1680
272,3159,1686
284,3119,1686
295,3128,1684
307,3131,1686
319,3121,1680
331,3116,1692
343,3112,1679
354,3103,1680
366,3112,1685
378,3106,1683
390,3118,1683
402,3104,1687
414,3091,1685
425,3097,1687
437,3103,1689
449,3095,1688
461,3113,1685
473,3120,1689
484,3127,1684
496,3125,1688
508,3127,1688
520,3128,1684
532,3124,1685
544,3088,1686
555,3069,1683
567,3106,1685
579,3138,1685
591,3166,1688
603,3185,1686
614,3181,1687
626,3204,1691
638,3190,1697
650,3165,1689
662,3179,1689
674,3165,1686
685,3191,1694
697,3189,1688
709,3204,1684
721,3123,1679
733,3135,1680
744,3150,1681
756,3104,1678
768,3168,1683
780,3133,1687
792,3100,1687
804,3129,1686
815,3112,1684
827,3100,1687
839,3120,1687
851,3119,1684
863,3142,1687
874,3161,1688
886,3179,1689
898,3158,1687
910,3154,1683
922,3145,1689
934,3116,1683
945,3125,1684
957,3112,1691
969,3121,1690
981,3123,1679
993,3141,1680
1004,3144,1688
1016,3141,1687
1028,3133,1685
1040,3178,1690
1052,3150,1690
1064,3149,1689
1075,3130,1682
1087,3144,1688
1099,3141,1687
1111,3146,1686
1123,3159,1696
1135,3154,1687
1146,3159,1690
1158,3149,1687
1170,3148,1688
1182,3139,1684
1194,3139,1685
1205,3155,1686
1217,3167,1685
1229,3151,1685
1241,3135,1689
1253,3126,1686
1265,3120,1683
1276,3122,1685
1288,3126,1690
1300,3125,1689
1312,3123,1684
1324,3135,1684
1335,3126,1689
1347,3108,1684
1359,3112,1689
1371,3121,1682
1383,3135,1689
1395,3132,1688
1406,3130,1688
1418,3139,1685
1430,3176,1688
1442,3177,1686
1454,3175,1689
1466,3142,1690
1477,3138,1690
1489,3119,1686
1501,3109,1686
1513,3085,1680
1525,3111,1683
1537,3107,1689
1548,3127,1687
1560,3112,1689
1572,3041,1682
1584,3039,1679
1596,3058,1689
1607,3034,1683
1619,3036,1683
1631,3032,1680
1643,3037,1685
1655,3028,1681
1667,3029,1681
1678,3063,1683
1690,3006,1683
1702,3037,1681
1714,3037,1686
1726,3076,1687
1738,3077,1689
1749,3085,1684
1761,3088,1687
1773,3080,1688
1785,3095,1688
1797,3081,1688
1808,3070,1685
1820,3090,1684
1832,3036,1684
1844,3091,1688
1856,3072,1689
1868,3094,1687
1879,3087,1689
1891,3081,1686
1903,3068,1686
1915,3036,1681
1927,3005,1683
1939,3012,1677
1950,3045,1680
