timestamp_ms,ppg1,ppg2
0,2991,26
12,3001,21
24,2926,26
36,2857,23
48,2850,24
60,2801,21
71,2715,16
83,2717,25
95,2730,28
107,2672,22
118,2644,25
130,2695,21
142,2653,25
154,2610,23
166,2638,23
178,2633,22
189,2533,29
201,2497,19
213,2504,24
225,2409,24
237,2368,25
248,2460,24
260,2505,28
272,2467,18
284,2521,21
296,2602,26
307,2552,26
319,2568,22
331,2693,26
343,2733,26
355,2711,27
366,2799,25
378,2892,20
390,2848,22
402,2872,23
414,2972,23
425,2954,22
437,2938,24
449,3006,21
461,3051,23
473,2990,23
484,3003,23
496,3072,24
508,3009,26
520,2990,22
532,3078,22
544,3090,28
555,3032,17
567,3058,23
579,3111,25
591,3019,26
603,2994,26
614,3080,24
626,3073,22
638,3025,23
650,3076,19
662,3139,24
673,3066,22
685,3063,19
697,3141,24
709,3105,28
721,3071,23
732,3114,24
744,3144,25
756,3061,28
768,3062,27
780,3114,21
792,3016,21
803,2980,25
815,3023,27
827,3020,26
839,2936,20
851,2946,21
862,2990,27
874,2896,24
886,2885,24
898,2962,23
910,2947,22
921,2896,18
933,2942,19
945,2978,24
957,2893,25
969,2894,24
981,2975,25
992,2955,21
1004,2913,24
1016,2972,20
1028,3019,20
1040,2944,24
1051,2960,21
1063,3040,22
1075,2949,23
1087,2936,23
1099,3006,22
1110,3014,23
1122,2923,20
1134,2940,22
1146,3009,21
1158,2911,17
1169,2886,25
1181,2977,25
1193,2977,22
1205,2906,27
1217,2959,26
1229,3020,24
1240,2941,28
1252,2949,28
1264,3052,22
1276,3020,20
1288,2978,25
1299,3043,24
1311,3086,21
1323,2994,23
1335,2996,23
1347,3076,24
1358,2999,22
1370,2968,25
1382,3042,23
1394,3064,22
1406,2984,22
1417,3000,24
1429,3080,8
1441,2974,24
1453,2957,24
1465,3042,20
1476,3034,20
1488,2949,24
1500,2988,26
1512,3040,24
1524,2926,29
1536,2908,23
1547,2987,28
1559,2956,23
1571,2890,26
1583,2950,30
1595,2986,29
1606,2894,26
1618,2900,23
1630,2988,24
1642,2924,21
1654,2883,23
1665,2956,22
1677,2969,14
1689,2881,22
1701,2883,27
1713,2948,26
1725,2844,16
1736,2826,25
1748,2905,26
1760,2917,20
1772,2841,22
1784,2878,21
1795,2927,21
1807,2820,24
1819,2800,22
1831,2853,24
1843,2783,21
1854,2665,22
1866,2671,25
1878,2689,22
1890,2532,22
1902,2494,22
1914,2575,15
1925,2557,20
1937,2573,12
1949,2714,26
1961,2821,26
1973,2791,27
1984,2866,24
1996,2974,24
2008,2915,22
2020,2901,22
