timestamp_ms,ppg1,ppg2
0,3196,3215
12,3190,3228
24,3192,3213
36,3182,3189
48,3195,3202
59,3197,3191
71,3191,3192
83,3186,3223
95,3176,3221
107,3189,3213
118,3184,3205
130,3195,3226
142,3208,3227
154,3212,3207
166,3211,3224
178,3211,3215
189,3208,3212
201,3197,3207
213,3199,3207
225,3207,3201
237,3188,3174
248,3195,3190
260,3186,3178
272,3176,3164
284,3178,3174
296,3180,3192
308,3190,3225
319,3189,3245
331,3186,3297
343,3194,3306
355,3202,3292
367,3209,3278
379,3207,3274
390,3207,3239
402,3200,3219
414,3210,3221
426,3193,3218
438,3193,3188
449,3187,3206
461,3184,3192
473,3182,3201
485,3189,3198
497,3186,3216
509,3199,3223
520,3194,3201
532,3196,3214
544,3197,3175
556,3207,3185
568,3205,3209
580,3212,3227
591,3210,3244
603,3199,3231
615,3195,3261
627,3197,3259
639,3193,3245
650,3191,3243
662,3193,3240
674,3183,3236
686,3192,3218
698,3199,3224
710,3192,3216
721,3201,3204
733,3193,3186
745,3201,3177
757,3205,3196
769,3199,3217
780,3194,3253
792,3183,3240
804,3189,3229
816,3185,3260
828,3196,3245
840,3195,3254
851,3187,3239
863,3191,3229
875,3188,3221
887,3187,3204
899,3203,3177
911,3197,3164
922,3209,3169
934,3219,3185
946,3213,3228
958,3212,3261
970,3215,3256
981,3208,3291
993,3204,3278
1005,3195,3263
1017,3187,3256
1029,3187,3247
1041,3185,3249
1052,3187,3231
1064,3183,3247
1076,3179,3261
1088,3181,3273
1100,3194,3302
1112,3204,3332
1123,3218,3364
1135,3211,3381
1147,3197,3430
1159,3206,3432
1171,3195,3408
1182,3191,3452
1194,3206,3448
1206,3203,3420
1218,3200,3391
1230,3198,3370
1242,3195,3319
1253,3182,3252
1265,3190,3215
1277,3195,3162
1289,3207,3133
1301,3203,3118
1313,3190,3117
1324,3198,3125
1336,3195,3130
1348,3209,3166
1360,3225,3184
1372,3225,3200
1383,3216,3234
1395,3208,3238
1407,3175,3245
1419,3177,3226
1431,3178,3240
1443,3184,3221
1454,3185,3175
1466,3186,3150
1478,3187,3117
1490,3189,3087
1502,3182,3049
1514,3195,3014
1525,3201,2948
1537,3211,2955
1549,3222,2967
1561,3212,2986
1573,3220,3020
1585,3211,3062
1596,3214,3113
1608,3221,3136
1620,3206,3152
1632,3195,3178
1644,3182,3184
1655,3175,3181
1667,3171,3169
1679,3171,3162
1691,3174,3148
1703,3175,3127
1715,3190,3133
1726,3188,3117
1738,3197,3106
1750,3200,3120
1762,3202,3124
1774,3212,3125
1786,3214,3137
1797,3215,3169
1809,3218,3191
1821,3210,3211
1833,3216,3221
1845,3197,3214
1857,3185,3189
1868,3179,3193
1880,3183,3204
1892,3177,3211
1904,3183,3204
1916,3181,3210
1927,3199,3209
1939,3194,3201
1951,3190,3202
1963,3202,3205
1975,3204,3211
1987,3194,3201
1998,3210,3205
2010,3209,3222
2022,3209,3222
2034,3199,3243
2046,3211,3255
2058,3203,3246
2069,3197,3221
2081,3203,3226
2093,3207,3236
2105,3209,3234
2117,3212,3256
2129,3212,3236
2140,3210,3247
2152,3202,3238
2164,3202,3249
2176,3200,3258
2188,3206,3225
2199,3204,3233
2211,3207,3212
2223,3202,3193
2235,3191,3181
2247,3186,3181
2259,3185,3176
2270,3193,3150
2282,3196,3160
2294,3198,3155
2306,3192,3141
2318,3196,3102
2330,3194,3113
2341,3205,3120
2353,3199,3107
2365,3204,3141
2377,3206,3143
2389,3215,3150
2401,3200,3166
2412,3214,3174
2424,3205,3187
2436,3195,3176
2448,3190,3202
2460,3191,3207
2472,3183,3196
2483,3195,3189
2495,3210,3211
2507,3205,3212
2519,3193,3209
2531,3193,3224
2543,3195,3216
2554,3192,3211
2566,3186,3233
2578,3188,3209
2590,3195,3208
2602,3193,3196
2614,3189,3200
2625,3193,3204
2637,3186,3197
2649,3179,3221
2661,3174,3204
2673,3183,3195
2685,3192,3188
2696,3201,3202
2708,3212,3204
2720,3193,3196
2732,3182,3215
2744,3156,3221
2756,3142,3232
2767,3145,3241
2779,3177,3242
2791,3223,3241
2803,3251,3250
2815,3273,3279
2827,3257,3269
2838,3237,3290
2850,3203,3376
2862,3170,3436
2874,3156,3513
2886,3153,3584
2897,3151,3690
2909,3172,3780
2921,3194,3853
2933,3208,3925
2945,3228,3971
2957,3219,3993
2968,3207,4006
2980,3180,3983
2992,3193,3949
3004,3208,3921
3016,3236,3913
3028,3248,3862
3039,3245,3794
3051,3230,3727
3063,3201,3662
3075,3183,3566
3087,3177,3446
3099,3182,3347
3110,3197,3204
3122,3203,3059
3134,3188,2887
3146,3183,2734
3158,3181,2606
3170,3175,2486
3181,3184,2406
3193,3194,2335
3205,3199,2283
3217,3194,2261
3229,3192,2240
3241,3196,2224
3252,3197,2228
3264,3208,2256
3276,3196,2298
3288,3195,2356
3300,3190,2458
3312,3205,2650
3323,3208,2884
3335,3227,3117
3347,3232,3380
3359,3226,3607
3371,3206,3801
3383,3176,3962
3394,3135,4051
3406,3117,4058
3418,3108,4051
3430,3151,3995
3442,3201,3914
3454,3230,3785
3465,3264,3696
3477,3260,3545
3489,3248,3431
3501,3216,3329
3513,3203,3237
3525,3223,3146
3536,3239,3061
3548,3260,3008
3560,3277,2955
3572,3258,2914
3584,3230,2913
3596,3192,2917
3607,3180,2949
3619,3164,2964
3631,3188,3006
3643,3193,3024
3655,3193,3042
3667,3181,3057
3678,3167,3033
3690,3170,2992
3702,3172,2934
3714,3192,2896
3726,3208,2847
3738,3208,2756
3749,3197,2774
3761,3185,2773
3773,3171,2780
3785,3166,2819
3797,3187,2873
3808,3198,2940
3820,3217,3011
3832,3218,3119
3844,3204,3162
3856,3192,3215
3868,3186,3292
3879,3179,3373
3891,3191,3425
3903,3199,3427
3915,3200,3478
3927,3211,3483
3939,3201,3477
3950,3184,3479
3962,3181,3445
3974,3176,3432
3986,3181,3398
3998,3187,3393
4010,3197,3368
4021,3198,3347
4033,3209,3355
4045,3195,3349
4057,3192,3342
4069,3176,3313
4081,3179,3321
4092,3187,3304
4104,3190,3281
4116,3185,3307
4128,3190,3319
4140,3188,3343
4152,3192,3395
4163,3194,3446
4175,3203,3501
4187,3207,3524
4199,3215,3550
4211,3216,3522
4223,3217,3472
4234,3212,3376
4246,3225,3282
4258,3223,3195
4270,3222,3091
4282,3221,3009
4294,3220,2939
4305,3229,2874
4317,3224,2862
4329,3217,2885
4341,3216,2920
4353,3210,2976
4365,3217,3078
4376,3207,3184
4388,3213,3279
4400,3201,3382
4412,3206,3452
4424,3200,3527
4436,3195,3593
4447,3188,3644
4459,3190,3697
4471,3203,3692
4483,3202,3731
4495,3195,3694
4507,3202,3667
4518,3192,3634
4530,3185,3636
4542,3190,3616
4554,3207,3594
4566,3204,3582
4578,3199,3543
4589,3196,3511
4601,3184,3446
4613,3195,3378
4625,3198,3327
4637,3183,3266
4649,3198,3236
4660,3184,3195
4672,3192,3134
4684,3185,3117
4696,3179,3093
4708,3180,3055
4720,3175,3061
4731,3181,3105
4743,3182,3119
4755,3184,3131
4767,3198,3151
4779,3198,3158
4790,3202,3147
4802,3178,3119
4814,3197,3088
4826,3202,2982
4838,3206,2875
4850,3215,2763
4861,3212,2630
4873,3207,2484
4885,3200,2348
4897,3194,2265
4909,3190,2202
4921,3188,2156
4932,3193,2177
4944,3197,2218
4956,3194,2266
4968,3190,2327
4980,3191,2432
4992,3192,2534
5003,3193,2629
5015,3196,2748
5027,3185,2830
5039,3188,2893
5051,3169,2967
5063,3173,3008
5074,3176,3020
5086,3170,2995
5098,3180,3020
5110,3182,2985
5122,3204,2953
5134,3187,2937
5145,3185,2921
5157,3201,2877
5169,3187,2851
5181,3189,2853
5193,3190,2805
5205,3197,2770
5216,3200,2833
5228,3199,2859
5240,3202,2884
5252,3196,2924
5264,3206,2961
5276,3199,2991
5287,3201,3000
5299,3204,3052
5311,3205,3022
5323,3208,3033
5335,3206,3067
5346,3214,3112
5358,3212,3139
5370,3206,3133
5382,3204,3142
5394,3205,3125
5406,3197,3087
5417,3174,3078
5429,3184,3073
5441,3187,3064
5453,3187,3064
5465,3189,3074
5477,3199,3103
5488,3191,3106
5500,3185,3109
5512,3194,3128
5524,3198,3164
5536,3201,3165
5548,3197,3179
5559,3190,3185
5571,3195,3185
5583,3187,3211
5595,3186,3224
5607,3206,3232
5619,3195,3223
5630,3201,3228
5642,3206,3212
5654,3196,3170
5666,3203,3190
5678,3192,3195
5690,3201,3206
5701,3200,3211
5713,3192,3220
5725,3197,3218
5737,3198,3194
5749,3193,3204
5761,3195,3187
5772,3199,3158
5784,3187,3180
5796,3198,3190
5808,3195,3196
5820,3185,3189
5832,3208,3202
5843,3201,3189
5855,3197,3154
5867,3194,3182
5879,3192,3186
5891,3196,3176
5903,3185,3180
5914,3197,3189
5926,3197,3196
5938,3193,3189
5950,3195,3199
5962,3206,3210
5974,3195,3199
5985,3192,3194
5997,3201,3207
6009,3198,3204
6021,3189,3180
6033,3187,3196
6045,3194,3207
6056,3187,3185
6068,3190,3178
6080,3196,3200
6092,3196,3200
6104,3201,3184
6115,3201,3179
6127,3198,3184
6139,3197,3183
6151,3195,3193
6163,3193,3196
6175,3194,3196
6186,3189,3189
6198,3196,3182
6210,3209,3196
6222,3203,3187
6234,3197,3189
6246,3200,3206
6257,3197,3205
6269,3189,3205
6281,3189,3234
6293,3189,3218
6305,3190,3221
6317,3201,3237
6328,3196,3230
6340,3198,3241
6352,3192,3226
6364,3201,3225
6376,3199,3239
6388,3198,3231
6399,3188,3223
6411,3188,3195
6423,3199,3229
6435,3192,3244
6447,3198,3267
6459,3202,3278
6470,3200,3262
6482,3198,3265
6494,3195,3239
6506,3196,3226
6518,3186,3208
6530,3197,3213
6541,3194,3188
6553,3197,3169
6565,3194,3192
6577,3213,3193
6589,3209,3186
6600,3194,3176
6612,3193,3181
6624,3200,3175
6636,3188,3183
6648,3199,3197
6660,3195,3191
6671,3190,3174
6683,3189,3177
6695,3196,3186
6707,3197,3202
6719,3192,3196
6731,3189,3215
6742,3195,3210
6754,3196,3190
6766,3200,3191
6778,3198,3184
6790,3191,3156
6802,3195,3120
6813,3199,3134
6825,3197,3147
6837,3196,3128
6849,3189,3157
6861,3198,3162
6873,3196,3141
6884,3191,3155
6896,3185,3165
6908,3192,3159
6920,3199,3149
6932,3199,3152
6944,3193,3178
6955,3195,3207
6967,3193,3233
6979,3189,3248
6991,3193,3266
7003,3196,3243
7015,3202,3260
7026,3203,3252
7038,3199,3210
7050,3202,3246
7062,3193,3266
7074,3205,3280
7086,3192,3263
7097,3202,3276
7109,3200,3269
7121,3202,3245
7133,3193,3250
7145,3189,3241
7157,3195,3220
7168,3189,3181
7180,3197,3182
7192,3185,3177
7204,3193,3162
7216,3195,3163
7228,3187,3143
7239,3203,3111
7251,3188,3136
7263,3189,3178
7275,3197,3197
7287,3194,3195
7299,3199,3209
7310,3201,3203
7322,3208,3203
7334,3197,3208
7346,3194,3202
7358,3199,3197
7370,3187,3149
7381,3194,3127
7393,3194,3139
7405,3196,3152
7417,3198,3164
7429,3197,3200
7441,3203,3196
7452,3198,3200
7464,3197,3218
7476,3200,3219
7488,3202,3226
7500,3195,3244
7512,3197,3245
7523,3211,3236
7535,3194,3231
7547,3197,3224
7559,3203,3233
7571,3198,3203
7583,3197,3207
7594,3207,3196
7606,3196,3173
7618,3203,3163
7630,3182,3164
7642,3199,3160
7653,3195,3137
7665,3204,3130
7677,3192,3124
7689,3200,3118
7701,3191,3124
7713,3190,3109
7724,3189,3132
7736,3196,3111
7748,3188,3131
7760,3197,3125
7772,3194,3127
7784,3189,3152
7795,3189,3160
7807,3207,3156
7819,3198,3157
7831,3200,3161
7843,3199,3171
7855,3195,3170
7866,3186,3177
7878,3194,3196
7890,3205,3218
7902,3187,3219
7914,3195,3226
7926,3199,3228
7937,3200,3213
7949,3194,3220
7961,3195,3216
7973,3198,3205
7985,3196,3198
7997,3204,3193
8008,3198,3199
8020,3199,3170
8032,3198,3192
8044,3202,3192
8056,3209,3210
8068,3193,3216
8079,3205,3241
8091,3206,3260
8103,3195,3241
8115,3191,3269
8127,3200,3243
8139,3202,3221
8150,3196,3198
8162,3190,3177
8174,3188,3154
8186,3189,3117
8198,3193,3135
8210,3197,3134
8221,3185,3118
8233,3190,3125
8245,3189,3141
8257,3201,3141
8269,3195,3133
8281,3195,3153
8292,3201,3164
8304,3205,3145
8316,3199,3168
8328,3200,3181
8340,3200,3205
8352,3197,3195
8363,3200,3208
8375,3198,3210
8387,3197,3198
8399,3191,3223
8411,3197,3216
8423,3200,3194
8434,3201,3192
8446,3208,3197
8458,3203,3206
8470,3197,3195
8482,3197,3233
8494,3201,3237
8505,3203,3229
8517,3196,3235
8529,3189,3232
8541,3199,3225
8553,3190,3198
8564,3189,3206
8576,3201,3201
8588,3197,3177
8600,3187,3181
8612,3199,3185
8624,3190,3190
8635,3186,3173
8647,3189,3183
8659,3208,3197
8671,3192,3176
8683,3197,3178
8695,3207,3188
8706,3197,3189
8718,3198,3186
8730,3202,3196
8742,3208,3204
8754,3197,3197
8766,3192,3233
8777,3196,3229
8789,3208,3219
8801,3197,3201
8813,3200,3211
8825,3200,3201
8837,3200,3187
8848,3196,3209
8860,3191,3211
8872,3198,3196
8884,3188,3196
8896,3190,3208
8908,3198,3191
8919,3199,3176
8931,3198,3197
8943,3207,3199
8955,3199,3188
8967,3197,3184
8979,3201,3192
8990,3196,3190
9002,3194,3176
9014,3191,3184
9026,3189,3173
9038,3192,3155
9050,3181,3186
9061,3187,3184
9073,3192,3196
9085,3190,3178
9097,3185,3207
9109,3186,3207
9121,3190,3177
9132,3192,3159
9144,3197,3156
9156,3206,3148
9168,3197,3150
9180,3194,3172
9191,3196,3173
9203,3191,3157
9215,3201,3165
9227,3198,3168
9239,3197,3166
9251,3201,3178
9262,3207,3199
