timestamp_ms,ppg1,ppg2
0,2055,1771
12,2138,2051
24,2241,2341
35,2352,2597
47,2478,2801
59,2605,2893
71,2730,2851
83,2843,2677
95,2914,2390
106,2928,2066
118,2894,1739
130,2807,1457
142,2696,1220
154,2571,1067
165,2423,954
177,2261,887
189,2100,859
201,1938,817
213,1798,770
225,1669,698
236,1587,603
248,1533,485
260,1506,397
272,1499,350
284,1512,347
295,1532,404
307,1577,509
319,1614,630
331,1664,758
343,1717,847
354,1788,875
366,1861,804
378,1918,642
390,1967,437
402,2004,236
413,2001,45
425,2005,22
437,2006,25
449,2017,25
461,2018,25
472,2042,22
484,2054,25
496,2065,25
508,2064,24
520,2060,28
532,2058,29
543,2053,23
555,2055,25
567,2059,23
579,2050,20
591,2061,25
602,2064,24
614,2081,26
626,2086,21
638,2104,311
650,2104,825
661,2102,1313
673,2095,1739
685,2091,2104
697,2082,2371
709,2071,2551
720,2074,2631
732,2060,2639
744,2057,2577
756,2026,2478
768,2005,2346
780,1982,2211
791,1950,2081
803,1940,1970
815,1921,1903
827,1906,1868
839,1881,1854
851,1858,1875
862,1835,1904
874,1810,1931
886,1787,1960
898,1783,1982
910,1789,1995
921,1798,2008
933,1835,2018
945,1881,2024
957,1923,2044
969,1951,2044
981,1945,2037
992,1916,1990
1004,1849,1919
1016,1763,1814
1028,1673,1692
1040,1571,1572
1052,1484,1447
1063,1387,1326
1075,1314,1229
1087,1266,1149
1099,1256,1094
1111,1276,1056
1122,1327,1043
1134,1400,1052
1146,1486,1078
1158,1593,1131
1170,1702,1204
1181,1820,1276
1193,1937,1367
1205,2057,1470
1217,2163,1561
1229,2250,1647
1241,2329,1716
1252,2388,1795
1264,2414,1854
1276,2419,1897
1288,2393,1941
1300,2346,1971
1312,2307,1988
1323,2267,2003
1335,2214,2009
1347,2152,2013
1359,2086,2023
1371,2029,2032
1382,1970,2047
1394,1942,2048
1406,1937,2056
1418,1929,2056
1430,1938,2061
1442,1949,2076
1453,1968,2084
1465,1990,2089
1477,2013,2081
1489,2038,2082
1501,2065,2089
1513,2072,2096
1524,2099,2090
1536,2096,2080
1548,2094,2080
1560,2080,2057
1572,2080,2060
1583,2077,2051
1595,2075,2036
1607,2077,2026
1619,2066,2017
1631,2068,2010
1643,2063,2002
1654,2053,2003
1666,2056,1999
1678,2059,1986
1690,2055,1990
1702,2065,1982
1714,2047,1992
1725,2056,1984
1737,2050,1973
1749,2049,1987
1761,2041,1985
1773,2040,1976
1785,2043,1977
1796,2060,1976
1808,2064,1979
1820,2067,1991
1832,2072,1999
1844,2064,1998
1855,2066,2008
1867,2057,2004
1879,2054,2014
1891,2054,2030
1903,2051,2037
1915,2056,2048
1926,2070,2038
1938,2065,2038
1950,2075,2036
1962,2068,2043
1974,2043,2055
1986,2022,2066
1997,2005,2077
2009,2011,2084
2021,2033,2093
2033,2058,2088
2045,2081,2088
2057,2085,2086
2068,2070,2081
2080,2045,2085
2092,2027,2076
2104,2035,2058
2116,2041,2048
2127,2032,2040
2139,2022,2042
2151,1979,2042
2163,1966,2047
2175,1973,2034
2187,2020,2020
2198,2105,2008
2210,2172,1986
2222,2191,1971
2234,2158,1959
2246,2087,1960
2258,2027,1966
2269,1995,1953
2281,1980,1965
2293,1995,1970
2305,2007,1986
2317,1999,2014
2329,1995,2039
2340,1976,2057
2352,1993,2061
2364,2049,2065
2376,2112,2049
2388,2153,2026
2400,2159,2010
2411,2128,1993
2423,2072,1979
2435,2023,1968
2447,1998,1959
2459,2018,1949
2471,2042,1943
2482,2058,1940
2494,2070,1968
2506,2059,1987
2518,2042,2024
2530,2036,2046
2541,2047,2062
2553,2083,2081
2565,2112,2076
2577,2138,2074
2589,2149,2059
2601,2139,2051
2612,2110,2043
2624,2087,2036
2636,2060,2026
2648,2044,2038
2660,2044,2042
2672,2050,2055
2683,2068,2076
2695,2102,2099
2707,2149,2122
2719,2208,2140
2731,2267,2151
2743,2293,2147
2754,2308,2157
2766,2304,2165
2778,2283,2174
2790,2258,2185
2802,2245,2194
2814,2225,2211
2825,2227,2234
2837,2233,2255
2849,2260,2289
2861,2296,2323
2873,2319,2352
2884,2353,2370
2896,2356,2381
2908,2341,2370
2920,2321,2342
2932,2299,2309
2944,2289,2271
2955,2283,2224
2967,2285,2180
2979,2286,2144
2991,2268,2122
3003,2245,2102
3015,2202,2111
3026,2163,2113
3038,2125,2123
3050,2096,2122
3062,2087,2110
3074,2070,2084
3086,2057,2077
3097,2032,2080
3109,2029,2100
3121,2034,2116
3133,2049,2149
3145,2073,2205
3157,2112,2248
3168,2148,2296
3180,2170,2328
3192,2180,2330
3204,2176,2330
3216,2175,2304
3228,2162,2282
3239,2156,2257
3251,2151,2244
3263,2132,2255
3275,2116,2291
3287,2117,2358
3298,2130,2432
3310,2133,2486
3322,2136,2514
3334,2133,2493
3346,2119,2459
3358,2081,2388
3369,2053,2306
3381,2009,2218
3393,1965,2145
3405,1954,2073
3417,1936,2027
3429,1919,1998
3440,1919,1982
3452,1920,1989
3464,1922,2001
3476,1926,2021
3488,1928,2049
3500,1947,2082
3511,1979,2094
3523,2008,2130
3535,2041,2137
3547,2083,2161
3559,2097,2182
3571,2112,2199
3582,2121,2195
3594,2125,2184
3606,2119,2158
3618,2112,2129
3630,2081,2095
3642,2055,2071
3653,2025,2046
3665,2005,2016
3677,1981,1988
3689,1968,1971
3701,1944,1960
3712,1935,1942
3724,1919,1930
3736,1927,1923
3748,1927,1920
3760,1937,1917
3772,1955,1915
3783,1961,1929
3795,1974,1923
3807,1973,1921
3819,1977,1910
3831,1968,1899
3843,1960,1875
3854,1948,1856
3866,1925,1861
3878,1903,1859
3890,1879,1864
3902,1862,1887
3914,1859,1910
3925,1859,1926
3937,1865,1950
3949,1869,1978
3961,1876,2005
3973,1893,2029
3985,1919,2041
3996,1944,2038
4008,1982,2050
4020,2016,2067
4032,2070,2082
4044,2101,2097
4055,2136,2109
4067,2154,2099
4079,2190,2083
4091,2193,2056
4103,2196,2043
4115,2180,2024
4126,2157,2009
4138,2141,2002
4150,2118,2002
4162,2107,2000
4174,2089,2006
4186,2066,2012
4197,2062,2015
4209,2059,2021
4221,2058,2013
4233,2051,2005
4245,2038,2002
4257,2038,1998
4268,2033,1998
4280,2018,2006
4292,2008,2016
4304,1991,2022
4316,1983,2045
4328,1978,2048
4339,1971,2058
4351,1966,2061
4363,1943,2079
4375,1940,2089
4387,1925,2091
4399,1928,2095
4410,1932,2089
4422,1941,2077
4434,1948,2066
4446,1961,2054
4458,1971,2065
4469,1983,2060
