ptt_ms,collection_id,timestamp
295,1,2025-03-11 09:58:16
201,2,2025-03-11 09:59:17
284,2,2025-03-11 09:59:17
142,3,2025-03-11 10:00:16
24,3,2025-03-11 10:00:16
130,6,2025-03-11 10:03:16
71,7,2025-03-11 10:04:17
224,7,2025-03-11 10:04:17
202,7,2025-03-11 10:04:17
83,11,2025-03-11 10:08:16
35,11,2025-03-11 10:08:16
82,11,2025-03-11 10:08:16
130,12,2025-03-11 10:09:17
154,2,2025-03-18 09:40:53
94,2,2025-03-18 09:40:53
272,1,2025-03-18 09:43:53
271,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
283,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
284,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
284,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
284,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
272,1,2025-03-18 09:43:53
296,1,2025-03-18 09:48:53
48,1,2025-03-18 09:48:53
47,1,2025-03-18 09:48:53
190,2,2025-03-18 09:49:53
237,2,2025-03-18 09:49:53
224,2,2025-03-18 09:49:53
118,3,2025-03-18 09:50:53
71,3,2025-03-18 09:50:53
47,3,2025-03-18 09:50:53
166,3,2025-03-18 09:50:53
48,3,2025-03-18 09:50:53
119,3,2025-03-18 09:50:53
201,4,2025-03-18 09:51:53
12,4,2025-03-18 09:51:53
166,4,2025-03-18 09:51:53
47,5,2025-03-18 09:52:53
59,5,2025-03-18 09:52:53
295,5,2025-03-18 09:52:53
249,5,2025-03-18 09:52:53
236,5,2025-03-18 09:52:53
284,5,2025-03-18 09:52:53
284,5,2025-03-18 09:52:53
130,6,2025-03-18 09:53:53
71,6,2025-03-18 09:53:53
130,6,2025-03-18 09:53:53
12,8,2025-03-18 09:55:53
12,8,2025-03-18 09:55:53
130,8,2025-03-18 09:55:53
201,8,2025-03-18 09:55:53
153,9,2025-03-18 09:56:53
249,9,2025-03-18 09:56:53
