timestamp_ms,ppg1,ppg2
0,3618,3083
12,3636,3092
23,3627,3068
35,3647,3067
47,3658,3076
59,3641,3076
71,3645,3078
82,3650,3084
94,3640,3108
106,3630,3076
118,3628,3083
130,3637,3081
142,3609,3062
153,3615,3056
165,3620,3063
177,3621,3065
189,3614,3046
201,3619,3069
212,3628,3062
224,3606,3073
236,3618,3074
248,3627,3082
260,3612,3081
272,3597,3067
283,3596,3058
295,3610,3062
307,3589,3053
319,3603,3033
331,3603,3055
342,3596,3043
354,3597,3043
366,3604,3049
378,3601,3066
390,3583,3048
402,3592,3054
413,3608,3055
425,3593,3043
437,3585,3032
449,3603,3042
461,3600,3048
472,3599,3031
484,3630,3025
496,3655,3052
508,3638,3021
520,3652,3017
532,3665,3033
543,3649,3041
555,3643,3045
567,3629,3046
579,3619,3054
591,3592,3047
602,3601,3050
614,3614,3056
626,3604,3068
638,3607,3048
650,3631,3057
662,3642,3072
673,3631,3063
685,3641,3059
697,3657,3066
709,3636,3046
721,3645,3045
733,3641,3055
744,3659,3064
756,3657,3037
768,3668,3041
780,3680,3038
792,3653,3049
803,3655,3043
815,3672,3059
827,3670,3069
839,3666,3047
851,3658,3050
863,3668,3063
874,3655,3040
886,3663,3040
898,3669,3045
910,3661,3039
922,3656,3038
933,3660,3047
945,3669,3061
957,3669,3047
969,3680,3041
981,3691,3044
993,3681,3042
1004,3681,3032
1016,3694,3061
1028,3697,3058
1040,3671,3039
1052,3683,3054
1063,3700,3062
1075,3669,3049
1087,3689,3042
1099,3690,3047
1111,3699,3058
1123,3688,3035
1134,3698,3035
1146,3709,3043
1158,3692,3024
1170,3703,3037
1182,3708,3034
1194,3705,3052
1205,3709,3038
1217,3719,3050
1229,3736,3051
1241,3737,3030
1253,3751,3020
1265,3785,3033
1276,3808,3053
1288,3821,3069
1300,3844,3090
1312,3865,3109
1324,3840,3097
1335,3859,3107
1347,3861,3107
1359,3852,3092
1371,3839,3068
1383,3838,3072
1395,3830,3070
1406,3811,3070
1418,3813,3077
1430,3816,3086
1442,3807,3092
1454,3816,3094
1466,3816,3075
1477,3820,3084
1489,3805,3067
1501,3810,3072
1513,3822,3067
1525,3820,3065
1536,3828,3073
1548,3842,3065
1560,3835,3077
1572,3828,3070
1584,3829,3076
1596,3845,3085
1607,3823,3061
1619,3843,3053
1631,3852,3074
1643,3843,3078
1655,3846,3083
1667,3852,3082
1678,3875,3079
1690,3848,3066
1702,3857,3056
1714,3861,3071
1726,3851,3064
1738,3844,3058
1749,3860,3065
1761,3860,3096
1773,3841,3075
1785,3839,3079
1797,3847,3079
1808,3837,3076
1820,3838,3082
1832,3842,3073
1844,3839,3072
1856,3829,3048
1868,3828,3071
1879,3846,3078
1891,3826,3065
1903,3840,3065
1915,3850,3070
1927,3848,3071
1939,3854,3063
1950,3857,3076
1962,3872,3084
1974,3870,3061
1986,3884,3053
1998,3901,3056
2010,3899,3076
2021,3908,3054
2033,3913,3065
2045,3922,3077
2057,3894,3060
2069,3912,3070
2080,3909,3067
2092,3898,3072
2104,3895,3059
2116,3895,3075
2128,3902,3090
2140,3878,3072
2151,3883,3083
2163,3896,3082
2175,3876,3090
2187,3879,3078
2199,3886,3081
2211,3889,3097
2222,3876,3077
2234,3876,3074
2246,3892,3085
2258,3879,3073
2270,3888,3073
2282,3893,3083
2293,3893,3085
2305,3879,3072
2317,3878,3072
2329,3889,3083
2341,3864,3069
2353,3872,3079
2364,3882,3086
2376,3875,3087
2388,3869,3059
2400,3877,3053
2412,3885,3071
2424,3867,3072
2435,3888,3075
2447,3904,3097
2459,3889,3085
2471,3888,3087
2483,3900,3080
2495,3896,3077
2506,3883,3068
2518,3887,3059
2530,3899,3063
2542,3875,3067
