ptt_ms,collection_id,timestamp
23,1,2025-04-11 14:36:44
23,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
11,1,2025-04-11 14:36:44
23,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
23,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
23,1,2025-04-11 14:36:44
48,1,2025-04-11 14:36:44
36,1,2025-04-11 14:36:44
36,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
12,1,2025-04-11 14:36:44
12,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
47,1,2025-04-11 14:36:44
12,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
23,1,2025-04-11 14:36:44
60,1,2025-04-11 14:36:44
12,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
47,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
12,1,2025-04-11 14:36:44
24,1,2025-04-11 14:36:44
47,1,2025-04-11 14:36:44
35,1,2025-04-11 14:36:44
35,1,2025-04-11 14:36:44
23,1,2025-04-11 14:36:44
