timestamp_ms,ppg1,ppg2
0,3141,3055
11,3137,3069
23,3158,3075
35,3161,3085
47,3123,3080
59,3043,3082
70,2980,3082
82,2988,3108
94,3019,3079
106,3093,3092
118,3150,3055
130,3178,3045
141,3187,3050
153,3156,3041
165,3126,3068
177,3085,3068
189,3080,3099
200,3096,3134
212,3122,3149
224,3160,3176
236,3176,3182
248,3198,3180
260,3209,3165
271,3198,3173
283,3174,3172
295,3141,3179
307,3101,3201
319,3082,3157
331,3097,3153
342,3139,3141
354,3186,3154
366,3211,3181
378,3191,3166
390,3173,3180
401,3140,3213
413,3069,3189
425,3034,3185
437,3002,3164
449,3018,3174
461,3063,3177
472,3105,3176
484,3160,3182
496,3151,3218
508,3127,3240
520,3092,3255
532,3065,3274
543,3057,3269
555,3075,3290
567,3119,3310
579,3130,3287
591,3166,3293
602,3166,3316
614,3176,3316
626,3153,3283
638,3140,3269
650,3151,3271
662,3140,3257
673,3147,3265
685,3154,3274
697,3139,3287
709,3116,3302
721,3104,3343
732,3106,3355
744,3112,3369
756,3172,3441
768,3211,3508
780,3185,3556
792,3125,3568
803,3074,3571
815,3085,3624
827,3091,3581
839,3129,3536
851,3203,3475
863,3192,3396
874,3152,3330
886,3101,3273
898,3071,3237
910,3091,3210
922,3152,3201
933,3191,3184
945,3200,3175
957,3170,3161
969,3109,3162
981,3102,3149
993,3141,3132
1004,3195,3158
1016,3306,3204
1028,3322,3198
1040,3339,3196
1052,3311,3192
1064,3269,3220
1075,3224,3245
1087,3180,3282
1099,3157,3329
1111,3186,3363
1123,3228,3376
1134,3244,3325
1146,3239,3257
1158,3211,3206
1170,3178,3166
1182,3152,3128
1194,3147,3108
1205,3156,3103
1217,3210,3134
1229,3207,3133
1241,3197,3133
1253,3195,3113
1265,3209,3121
1276,3224,3117
1288,3225,3118
1300,3221,3132
1312,3177,3116
1324,3168,3127
1335,3153,3130
1347,3167,3138
1359,3182,3146
1371,3199,3114
1383,3236,3122
1395,3228,3091
1406,3241,3111
1418,3222,3107
1430,3195,3132
1442,3159,3121
1454,3122,3129
1466,3102,3119
1477,3090,3106
1489,3106,3110
1501,3134,3110
1513,3157,3127
1525,3200,3162
1536,3228,3175
1548,3268,3196
1560,3266,3205
1572,3255,3232
1584,3187,3234
1596,3115,3254
1607,3069,3285
1619,3048,3351
1631,3034,3338
1643,3067,3325
1655,3125,3334
1667,3175,3310
1678,3209,3287
1690,3211,3246
1702,3248,3231
1714,3283,3233
1726,3268,3181
1737,3258,3154
1749,3266,3168
1761,3226,3162
1773,3235,3188
1785,3225,3136
1797,3244,3149
1808,3272,3165
1820,3268,3206
1832,3191,3203
1844,3145,3203
1856,3140,3238
1868,3143,3235
1879,3158,3237
1891,3213,3277
1903,3216,3265
1915,3233,3267
1927,3264,3296
1939,3268,3308
1950,3236,3287
1962,3159,3214
1974,3151,3220
1986,3138,3230
1998,3166,3238
2009,3226,3251
2021,3306,3274
2033,3364,3282
2045,3340,3289
2057,3252,3269
2069,3187,3261
2080,3116,3264
2092,3091,3268
2104,3051,3220
2116,3042,3170
2128,3070,3118
2140,3156,3131
2151,3225,3110
2163,3258,3099
2175,3254,3065
2187,3249,3053
2199,3258,3049
2211,3263,3046
2222,3261,3083
2234,3236,3100
2246,3227,3133
2258,3228,3173
2270,3232,3198
2282,3256,3220
2293,3292,3231
2305,3312,3250
2317,3328,3240
2329,3340,3264
2341,3372,3305
2353,3406,3351
2364,3434,3409
2376,3483,3485
2388,3538,3568
2400,3545,3574
2412,3542,3582
2424,3539,3605
2435,3552,3617
2447,3578,3641
2459,3604,3602
2471,3645,3558
2483,3685,3533
2495,3740,3518
2506,3803,3513
2518,3841,3489
2530,3876,3475
2542,3922,3455
2554,3941,3424
2566,3975,3407
