ptt_ms,collection_id,timestamp
82,1,2025-04-11 14:58:54
23,1,2025-04-11 14:58:54
106,1,2025-04-11 14:58:54
82,1,2025-04-11 14:58:54
106,1,2025-04-11 14:58:54
36,1,2025-04-11 14:58:54
35,1,2025-04-11 14:58:54
47,1,2025-04-11 14:58:54
142,1,2025-04-11 14:58:54
118,1,2025-04-11 14:58:54
59,1,2025-04-11 14:58:54
213,1,2025-04-11 14:58:54
213,1,2025-04-11 14:58:54
165,1,2025-04-11 14:58:54
154,1,2025-04-11 14:58:54
83,1,2025-04-11 14:58:54
225,1,2025-04-11 14:58:54
201,1,2025-04-11 14:58:54
189,1,2025-04-11 14:58:54
47,1,2025-04-11 14:58:54
11,1,2025-04-11 14:58:54
83,1,2025-04-11 14:58:54
225,1,2025-04-11 14:58:54
12,1,2025-04-11 14:58:54
95,1,2025-04-11 14:58:54
178,1,2025-04-11 14:58:54
24,1,2025-04-11 14:58:54
