ptt_ms,collection_id,timestamp
35,1,2025-04-11 13:47:47
35,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
11,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
11,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
24,1,2025-04-11 13:47:47
23,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
24,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
11,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
12,1,2025-04-11 13:47:47
11,1,2025-04-11 13:47:47
